_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
purchased	VERB
items	NOUN
embroidered	VERB ADJ
embroider	VERB ADJ
sushi	NOUN PROPN
bellevue	PROPN
lover	PROPN NOUN
crave	VERB
wine	NOUN VERB
brain	NOUN PROPN VERB
completely	ADV
inefficient	ADJ
ineffective	ADJ
darn	NOUN
embarrassment	NOUN
italian	ADJ PROPN NOUN
candles	NOUN
candle	NOUN
piano	NOUN
lessons	NOUN PROPN
lesson	NOUN
mrs.	PROPN NOUN
lynda	PROPN
mcmanus	PROPN
woodland	PROPN
yum	INTJ PROPN
flour	NOUN
tortillas	NOUN
tortilla	NOUN
enchiladas	NOUN
enchilada	NOUN
discussing	ADJ VERB
cooked	VERB ADJ
yrs	NOUN
hill	ADV PROPN NOUN
surprised	VERB ADJ
negative	ADJ NOUN
repairs	NOUN
laptops	NOUN
laptop	NOUN
timely	ADJ
awsome	ADJ
fave	NOUN
filling	ADJ VERB NOUN
pueblo	PROPN
busy	ADJ VERB
bike	NOUN VERB
shop	NOUN VERB
jason	PROPN
pizzas	NOUN
calzones	NOUN
calzone	NOUN
gem	NOUN
superb	ADJ
delivered	VERB
deliver	VERB
hairstyles	NOUN
hairstyle	NOUN
pleased	ADJ VERB
luxe	PROPN
improve	VERB
english	PROPN ADJ NOUN
hangout	NOUN
ice	ADJ NOUN PROPN VERB
cold	ADJ NOUN PROPN AUX
kitchen	NOUN PROPN
puts	VERB NOUN
daily	ADJ ADV PROPN NOUN
specials	NOUN
firing	VERB
pool	NOUN PROPN
filters	NOUN VERB
filter	NOUN VERB ADJ
cleaned	VERB
lied	VERB
denied	VERB
battery	NOUN PROPN ADJ
golf	NOUN VERB
adz	PROPN
charity	NOUN PROPN
auction	NOUN
donated	VERB
donate	VERB
crashed	VERB
crash	VERB NOUN
chocolate	NOUN
scharffen	PROPN
berger	PROPN
tcho	PROPN
smaller	ADJ
artisan	NOUN
makers	NOUN
45	NUM
ridiculous	ADJ
charged	VERB ADJ
salad	NOUN
cream	NOUN PROPN
mayonnaise	NOUN
coleslaw	NOUN
avoid	VERB
britt	PROPN
northwest	NOUN PROPN ADJ
s.	PROPN
10th	PROPN NOUN ADJ
sts.	PROPN
veryyyy	ADV
veryyy	ADV
auto	NOUN PROPN
honest	ADV ADJ
%	SYM X NOUN
recomend	VERB
barry	PROPN
ashdown	PROPN
alway	ADV
contactable	ADJ
ps.	NOUN
tutoring	NOUN
grades	NOUN
grade	NOUN
needing	VERB
elementary	ADJ
middle	NOUN ADJ PROPN
midnight	NOUN PROPN
workers	NOUN
worker	NOUN PROPN
assortment	NOUN
adds	VERB
entertainment	NOUN
strawberries	NOUN
strawberry	NOUN ADJ
duty	PROPN NOUN
surprisingly	ADV
load	VERB NOUN
ramp	NOUN VERB
aches	NOUN
ache	NOUN VERB
pod	NOUN
flavored	ADJ VERB
hamburguers	NOUN
hamburger	NOUN
amplifiaed	VERB
amplify	VERB
juicy	ADJ
cigar	NOUN
blouvard	NOUN
boulevard	NOUN PROPN
encino	PROPN
bless	VERB
definately	ADV
amir	PROPN
hank	PROPN NOUN
trusting	VERB
teeth	NOUN PROPN
seven	NUM PROPN
stayed	VERB
seaview	NOUN
2009	NUM
wow	INTJ NOUN
stunning	ADJ VERB
views	NOUN VERB
furnishing	NOUN
accommodation	NOUN
camps	PROPN NOUN
mall	NOUN PROPN
tasty	ADJ
volcano	NOUN
nova	PROPN
scotia	PROPN
cottage	NOUN PROPN
relaxing	ADJ VERB
inspiring	ADJ VERB
architecture	NOUN PROPN
sand	PROPN NOUN VERB
lightning	NOUN
budget	NOUN VERB
pricey	ADJ
pad	NOUN PROPN VERB
holly	PROPN ADV
knows	VERB
exactly	ADV
clothes	NOUN
stylish	ADJ
personality	NOUN
decent	ADJ
dishonest	ADJ
rude	ADJ
truth	NOUN PROPN
mouths	NOUN
mouth	NOUN VERB ADJ
owned	VERB
?!	PUNCT
feels	VERB
cramped	ADJ
http://cambridgefoodfrivolity.blogspot.com/	X
answers	VERB NOUN
provides	VERB
born	ADJ VERB
ruder	ADJ
patient	NOUN ADJ
cooper	PROPN
twice	ADV
smokehouse	NOUN
freshness	NOUN
broccoli	NOUN
browned	ADJ
edges	NOUN
natasha	PROPN
photographer	NOUN
capture	VERB NOUN
spontaneous	ADJ ADV
images	NOUN
disappointed	VERB ADJ
disappoint	VERB ADJ
ray	PROPN NOUN VERB
single	ADJ VERB NOUN PROPN
luckily	ADV
abuse	VERB NOUN
ends	NOUN VERB
caldwell	PROPN
insurance	PROPN NOUN
urgent	ADJ ADV
charming	ADJ PROPN
homely	ADJ
host	NOUN VERB
yummy	ADJ PROPN
breakfasts	NOUN
delightful	ADJ
sophie	PROPN
rome	PROPN
soooo	ADV
marlon	PROPN
creative	ADJ PROPN NOUN
talented	ADJ
terrific	ADJ
cloth	NOUN PROPN
napkin	NOUN
chronic	ADJ
intractable	ADJ
pain	NOUN
treating	VERB
phuket	PROPN
creating	VERB
went	VERB
smooth	ADV ADJ VERB
seo	PROPN NOUN
appliances	NOUN
appliance	NOUN
plumbing	PROPN NOUN
conditioning	PROPN NOUN
electric	PROPN ADJ NOUN
stars	NOUN VERB
birdies	PROPN
annual	ADJ NOUN
drugs	PROPN NOUN
neat	ADJ ADV
bridies	PROPN
hancocks	PROPN
fabric	NOUN
stores	NOUN VERB
fort	PROPN NOUN
hobby	PROPN NOUN
lobby	PROPN NOUN VERB
fabrics	PROPN
walmart	PROPN
interior	PROPN NOUN ADJ
barling	PROPN
notions	NOUN
notion	NOUN
management	NOUN PROPN
dumpy	ADJ
rig	NOUN VERB ADJ
parking	NOUN VERB
construction	NOUN PROPN
cordon	NOUN
blu	NOUN
bleu	NOUN
portion	NOUN
slow	ADJ VERB ADV
relax	VERB
blanket	NOUN
heat	VERB NOUN
removing	VERB
abouts	NOUN
cleaner	ADJ NOUN
sports	NOUN PROPN
sport	NOUN PROPN VERB
improved	VERB ADJ
lifts	NOUN VERB
lift	NOUN VERB ADJ
correctly	ADV
sized	VERB ADJ
choose	VERB
hilton	PROPN
summary	NOUN
cheep	ADJ
coupons	NOUN
coupon	NOUN
lawyer	NOUN
mr.	PROPN NOUN
villega	PROPN
exceptional	ADJ
cross	VERB NOUN PROPN
examined	VERB
examine	VERB
witnesses	NOUN
relentlessly	ADV
defend	VERB
armando	PROPN
checked	VERB
suspiciously	ADV
jacket	NOUN
sweater	NOUN
overpriced	ADJ
belts	NOUN
obvious	ADJ
lurking	NOUN
pies	NOUN PROPN
pie	NOUN PROPN
canada	PROPN
authentic	ADJ
british	ADJ PROPN NOUN
baker	NOUN PROPN
hoot	NOUN PROPN ADJ
mo	PROPN NOUN
cozy	ADJ
importantly	ADV
prepared	VERB ADJ
ingredients	NOUN
ingredient	NOUN
solar	ADJ
panels	NOUN
panel	NOUN PROPN
roof	NOUN
putting	VERB ADJ
grid	NOUN
impressive	ADJ
teacup	NOUN
puppy	NOUN
grooming	NOUN
condition	NOUN VERB
nail	NOUN VERB ADV
mateo	PROPN
avenue	PROPN NOUN
mani	NOUN
pedi	NOUN
tina	PROPN
vicky	PROPN
refer	VERB
:p	SYM
attractions	NOUN
attraction	NOUN
simulator	NOUN
360	NUM
spin	VERB NOUN
cn	PROPN
tower	PROPN NOUN
“	PUNCT
hassled	VERB
hassle	VERB NOUN
raffle	NOUN
”	PUNCT
guessing	VERB
thankfully	ADV
flowers	NOUN PROPN
shops	NOUN
norman	PROPN
pure	ADJ
beauty	NOUN
joy	NOUN PROPN
stroll	VERB NOUN
historic	ADJ PROPN
canyon	PROPN
fe	PROPN
gallery	NOUN PROPN
gorgeous	ADJ
diversity	NOUN
destiny	PROPN NOUN
allison	PROPN
sculptures	NOUN
karla	PROPN
welcoming	ADJ
visiting	VERB
winterowd	PROPN
portions	NOUN
ate	VERB
healthy	ADJ
barb	PROPN
massage	NOUN VERB
cheaply	ADV
glass	NOUN PROPN
china	PROPN NOUN
carry	VERB
blown	VERB PROPN
notch	NOUN
knowledgable	ADJ
!!!!!!!!!!	PUNCT
chuck	PROPN
gretchen	PROPN
alan	PROPN
mins	NOUN
paying	VERB
dui	NOUN
sr	NOUN ADJ
ins	NOUN PROPN
arrived	VERB
ship	VERB NOUN ADJ
adding	VERB
useless	ADJ
mediocre	ADJ
waitress	NOUN
passable	ADJ
pub	NOUN
famoso	PROPN
seriously	ADV
dentist	NOUN
grammar	NOUN PROPN
regular	ADJ NOUN
intervals	NOUN
interval	NOUN
japaneiro	PROPN
menu	NOUN
rolls	NOUN VERB
courteous	ADJ
wrok	NOUN
harlan	PROPN
felt	VERB NOUN
memphis	PROPN
saab	PROPN
extrememly	ADV
lower	ADJ VERB ADV NOUN PROPN
peiod	NOUN
cable	NOUN
except	ADP SCONJ VERB CCONJ
display	NOUN VERB ADJ
motherboard	NOUN
botched	VERB
botch	VERB
longer	ADV ADJ
tanglewood	PROPN
cabins	NOUN
cabin	NOUN
helen	PROPN
tan	VERB PROPN ADJ
referred	VERB
lowest	ADJ
pleasantly	ADV
josh	PROPN
drs.	PROPN
ali	PROPN
wonders	NOUN VERB
cavity	NOUN
dental	ADJ PROPN
education	NOUN PROPN
usual	ADJ ADV
hotdog	NOUN
variety	NOUN
hotdogs	NOUN
hamburgers	NOUN
veggie	NOUN
fries	NOUN
fry	NOUN VERB ADJ
typical	ADJ
indie	ADJ
outfit	NOUN VERB
memorabilia	NOUN
70's	NOUN
70'	NOUN
80's	NOUN
80'	NOUN
receipt	NOUN
8.95	NUM
transaction	NOUN
10.74	NUM
integrity	NOUN
elmira	PROPN
seamstress	NOUN
mustang	PROPN
satisfied	ADJ VERB
paint	NOUN VERB ADJ
morphed	VERB
morph	VERB
googleos	PROPN
expanded	VERB ADJ
expand	VERB
wares	NOUN
fledged	ADJ
operating	NOUN VERB
microsoft	PROPN
foley	PROPN
nostalgic	NOUN ADJ
buzzmachine	PROPN
argues	VERB
ubiquity	NOUN
backfire	VERB
figured	VERB
figure	VERB NOUN PROPN
anyways	ADV INTJ
donovan	PROPN
argghhh!	PROPN
slide	NOUN VERB
pic's	NOUN
pic'	NOUN
screenshots	NOUN
screenshot	NOUN
beheading	NOUN
video's	NOUN
video'	NOUN
flags	NOUN
slides	NOUN
chorus	NOUN
annoyance	NOUN
toolbar	NOUN
noted	VERB
commits	VERB
sin	NOUN VERB PROPN
marketer	NOUN
fond	ADJ
hates	VERB
hate	VERB NOUN
opt	VERB
worried	ADJ VERB
wanting	VERB
suspect	VERB NOUN ADJ
accusing	VERB
sympathise	VERB
nasty	ADJ
nations	PROPN NOUN
anti-proliferation	NOUN
treaty	NOUN PROPN
wiped	VERB
wipe	VERB
map	NOUN VERB
insisted	VERB
insist	VERB
peaceful	ADJ
purposes	NOUN
diplomacy	NOUN
pressure	NOUN VERB
pointed	VERB ADJ
watched	VERB
embassy	NOUN
hostage	NOUN
iranians	PROPN
statements	NOUN
hide	VERB NOUN ADJ
angry	ADJ ADV
crowds	NOUN
chanted	VERB
chant	VERB PROPN NOUN ADJ
anti-american	ADJ
slogans	NOUN
slogan	NOUN
falluja	PROPN
pop.	NOUN
256,000	NUM
buried	VERB
bury	VERB
reuters	PROPN
declaration	NOUN PROPN
condemning	VERB
guards	NOUN PROPN
guard	NOUN PROPN VERB
announcing	VERB
mourning	NOUN VERB
massacre	NOUN VERB
dedicated	ADJ VERB
protection	NOUN PROPN
aggressive	ADJ
capable	ADJ
safety	NOUN PROPN
commanders	NOUN
commander	NOUN PROPN
roiled	VERB
roil	VERB
tense	ADJ
relations	NOUN PROPN
relation	NOUN
sunnis	PROPN
fundamentalists	NOUN
fundamentalist	NOUN ADJ PROPN
radicals	NOUN
disproportionate	ADJ
advent	NOUN
implies	VERB
imply	VERB
demotion	NOUN
elevation	NOUN
kurds	PROPN
quietly	ADV
http://www.gulf-news.com/articles/news.asp?articleid=97508	X
supreme	PROPN ADJ
hamdan	PROPN
v.	ADP PROPN
divided	VERB ADJ
divide	VERB
idelogical	ADJ
roberts	PROPN
abstaining	VERB
abstain	VERB
d.c.	PROPN
circuit	PROPN NOUN
kennedy	PROPN
joining	VERB
liberals	NOUN
185	NUM
pages	NOUN
actual	ADJ ADV
confusing	ADJ VERB
paul	PROPN X
stevens	PROPN
iv	NUM NOUN PROPN ADJ
iii	NUM PROPN X ADJ
souter	PROPN
ginsburg	PROPN
breyer	PROPN NOUN
concurring	VERB
concur	VERB
ii	NUM PROPN X VERB ADJ
scalia	PROPN
dissenting	VERB
dissent	VERB NOUN
alito	PROPN
b	NOUN X ADJ AUX PROPN NUM
rarely	ADV
highlights	NOUN VERB
highlight	NOUN VERB
dissents	NOUN
finished	ADJ VERB
calibrations	NOUN
calibration	NOUN
marriage	NOUN PROPN
anti-gay	ADJ
gays	NOUN
gay	NOUN ADJ PROPN
altar	NOUN
frowned	VERB
frown	VERB
constitutionally	ADV
pushed	VERB
push	VERB NOUN
sudan	PROPN
symptomatic	ADJ
paced	VERB
pace	VERB NOUN PROPN
cycle	NOUN VERB PROPN
biggest	ADJ
humanitarian	ADJ
crisis	NOUN PROPN
eclipsed	VERB
eclipse	VERB PROPN NOUN
secretary	PROPN NOUN
whirlwind	NOUN
tour	NOUN VERB PROPN
newspapers	NOUN
disappointing	ADJ
troubling	ADJ VERB
ebbed	VERB
ebb	VERB NOUN
kofi	PROPN
annan	PROPN
taken	VERB
ethnic	ADJ
darfur	PROPN
task	NOUN PROPN VERB
keeping	VERB NOUN
15,000	NUM
analysts	NOUN
donors	NOUN
donor	NOUN
relief	NOUN
dazzling	ADJ PROPN VERB
powell	PROPN
ground	NOUN PROPN VERB
appears	VERB
warren	PROPN
buffett	PROPN
85	NUM
mostly	ADV
melinda	PROPN
gates	PROPN NOUN
worries	VERB NOUN
worry	VERB NOUN ADJ
justification	NOUN
compounding	VERB
compound	VERB NOUN ADJ
fortune	NOUN PROPN
significantly	ADV
parse	VERB
ostensible	ADJ
gateses	PROPN
redistributors	NOUN
redistributor	NOUN
essentially	ADV
berkshire	PROPN
hathaway	PROPN
intrinsic	ADJ
notes	VERB NOUN PROPN
index	NOUN VERB PROPN
liquid	ADJ NOUN
century	NOUN PROPN
em	INTJ PRON
mainly	ADV
invests	VERB
medical	ADJ PROPN
donating	VERB
tremendous	ADJ
ten	NUM NOUN PROPN
10.000.000	NUM
dying	VERB ADJ
malaria	NOUN
i.e	X
decrease	VERB NOUN
mentions	VERB
effect	NOUN VERB
rational	ADJ
hose	NOUN VERB
donation	NOUN
msm	PROPN
leftist	ADJ NOUN
europe	PROPN
accepting	VERB
accept	VERB
legitimate	ADJ VERB
forms	NOUN VERB
participate	VERB
parliamentary	ADJ
debate	NOUN VERB
entering	VERB NOUN
withdrawal	NOUN
agreed	VERB
conditions	NOUN
forth	ADV ADP NOUN
unsc	PROPN
resolution	PROPN NOUN
1559	NUM
begun	VERB
duped	VERB
dupe	VERB NOUN
placards	NOUN
placard	NOUN
acceptance	NOUN
blatantly	ADV
movements	NOUN
cancerous	ADJ
tumor	NOUN
9-11	NUM
despite	ADP SCONJ
attempts	NOUN
terrorism	NOUN
define	VERB ADJ
waffling	VERB
waffle	VERB NOUN
innocent	ADJ NOUN ADV
routinely	ADV
obscures	VERB
obscure	VERB ADJ
okrent	PROPN
demonstrates	VERB
demonstrate	VERB
sidestep	VERB
confrontation	NOUN
delays	VERB NOUN
delay	VERB NOUN
eventual	ADJ
predators	NOUN
predator	NOUN
exploit	VERB
inherent	ADJ
weakness	NOUN
internationals	NOUN
fuming	VERB
fume	VERB NOUN
governments	NOUN
suggested	VERB
suggest	VERB
wtf	PRON
plain	ADJ NOUN ADV
marine	PROPN NOUN ADJ
barracks	NOUN
1983	NUM
europeans	PROPN NOUN
muhsin	PROPN
hamid	PROPN
cooperate	VERB
lukewarmly	ADV
caretaker	NOUN
iip	PROPN
urging	VERB NOUN
stance	NOUN
contemplating	VERB
contemplate	VERB
offing	NOUN
thus	ADV SCONJ
fatally	ADV
weakening	VERB
legitimacy	NOUN
forbade	VERB
forbid	VERB ADJ
ams	PROPN
raiding	VERB
raid	VERB NOUN
mortal	ADJ
sins	NOUN
sinned	VERB
participated	VERB
lest	SCONJ
emphemeral	ADJ
forbidding	VERB
majority	NOUN
refrain	VERB
commiting	VERB
religion	NOUN
basic	ADJ PROPN NOUN
humanity	NOUN PROPN
ploy	NOUN
assertaion	NOUN
merely	ADV
fighters	NOUN
fighter	NOUN
convergence	NOUN
spring	NOUN PROPN VERB
mahdi	PROPN
militiamen	NOUN
militiaman	NOUN
supported	VERB
anti-shiite	ADJ
pogroms	NOUN
pogrom	NOUN
pinched	VERB
pinch	VERB NOUN
nerves	NOUN
nerve	NOUN ADJ
criticized	VERB
criticize	VERB
foiled	VERB
foil	VERB NOUN
plot	NOUN VERB
airplanes	NOUN
airplane	NOUN
fascists	NOUN
fascist	NOUN ADJ
inflame	VERB
anti-muslim	ADJ
thwarted	VERB
thwart	VERB
britain	PROPN
aircraft	NOUN
atlantic	PROPN ADJ
bore	VERB NOUN ADJ
bear	VERB PROPN NOUN
hallmarks	NOUN
hallmark	NOUN
advised	VERB
advise	VERB NOUN
counterproductive	ADJ
islam	PROPN
fascism	NOUN
nihad	PROPN
awad	PROPN
advocacy	NOUN
adjective	NOUN
purposely	ADV
associating	VERB
qualifier	NOUN
roster	NOUN
suspected	VERB
terrorists	NOUN
dick	PROPN NOUN
umir	PROPN
hussain	PROPN
e14	PROPN
saddique	PROPN
e17	PROPN
waheed	PROPN
assan	PROPN
abdullah	PROPN
khan	PROPN
waseem	PROPN
kayani	PROPN
wycombe	PROPN
cossor	PROPN
tayib	PROPN
rauf	PROPN
ibrahim	PROPN
savant	PROPN
osman	PROPN
adam	PROPN
khatib	PROPN
shamin	PROPN
uddin	PROPN
36	NUM
stoke	PROPN VERB
newington	PROPN
amin	PROPN
asmin	PROPN
tariq	PROPN
shazad	PROPN
khuram	PROPN
27	NUM
tanvir	PROPN
e10	PROPN
umar	PROPN
assad	PROPN
sarwar	PROPN
muneem	PROPN
e5	PROPN
nabeel	PROPN
waltham	PROPN
confused	ADJ VERB
suspects	NOUN VERB
fahim	PROPN
ahmad	PROPN
zakaria	PROPN
amara	PROPN
mississauga	PROPN
ont.	PROPN
asad	PROPN
ansari	PROPN
shareef	PROPN
abdelhaleen	PROPN
qayyum	PROPN
jamal	PROPN
43	NUM
dirie	PROPN
kingston	PROPN
yasim	PROPN
abdi	PROPN
mohamed	PROPN
jahmaal	PROPN
durrani	PROPN
steven	PROPN
vikash	PROPN
chand	PROPN
alias	NOUN
shakur	PROPN
mustafa	PROPN
ghany	PROPN
saad	PROPN
khalid	PROPN
spell	NOUN VERB
folk	NOUN
hateful	ADJ
pretend	VERB ADJ
miserable	ADJ ADV
monotheism	PROPN
tawhid	PROPN
wa	PROPN NOUN
allegedly	ADV VERB
prince	NOUN PROPN
allegiance	NOUN
mujahideen	NOUN
osama	PROPN
abu	PROPN
musab	PROPN
zarqawi	PROPN
bitter	ADJ NOUN
rivals	NOUN
rival	NOUN VERB
afghan	ADJ
moutasaddiq	PROPN
resources	NOUN
resource	NOUN PROPN
zeroes	NOUN
zero	NOUN PROPN NUM
21st	ADJ NOUN PROPN
worrying	ADJ VERB
picked	VERB ADJ
consolidation	NOUN
invasion	NOUN
botching	NOUN
aftermath	NOUN
setback	NOUN
loyalty	NOUN
usamah	PROPN
notionally	ADV
encompass	VERB
55th	PROPN
brigade	PROPN NOUN
taliban	PROPN
regime	NOUN
technical	ADJ NOUN
definition	NOUN PROPN
saudi	ADJ PROPN
wahhabi	ADJ
predominates	VERB
predominate	VERB
saudia	PROPN
egyptians	PROPN
islami	PROPN
ayman	PROPN
zawahiri	PROPN
asyut	PROPN
environs	NOUN
joint	ADJ PROPN NOUN
enterprise	NOUN PROPN
egyptian	ADJ PROPN
extremists	NOUN
polyglot	NOUN
jordanian	PROPN ADJ NOUN
distinctive	ADJ
coloration	NOUN
syrian	ADJ PROPN
oriented	VERB ADJ
orient	VERB PROPN
salafi	ADJ PROPN
protestant	PROPN ADJ NOUN
emphasis	NOUN PROPN
practice	NOUN VERB PROPN
companions	NOUN
muhammad	PROPN
salafis	PROPN
tend	VERB
narrow	ADJ VERB ADV
pietists	NOUN
pietist	NOUN
interpretation	NOUN PROPN
salafism	PROPN
peasant	PROPN NOUN
rebellion	PROPN NOUN
protestants	PROPN
worrisome	ADJ
presence	NOUN
orange	ADJ PROPN NOUN
insignia	NOUN
sighted	VERB
haifa	PROPN
fizazi	PROPN
tangiers	NOUN
tangier	NOUN
moroccan	PROPN
combatant	PROPN NOUN
ringleader	NOUN
atta	PROPN
madrid	PROPN
bombings	NOUN
bombing	NOUN
findings	NOUN PROPN
points	NOUN VERB
clinton	PROPN
expended	VERB
expend	VERB
facade	NOUN
mindedness	NOUN
weasel	NOUN
9/11	NUM PROPN
obsessed	ADJ
cheney	PROPN
fields	NOUN
muttering	VERB
mutter	VERB
opportunities	NOUN
february	PROPN NOUN
contradicted	VERB
contradict	VERB
counter-terrorism	NOUN ADJ
czar	NOUN
richard	PROPN
clarke	PROPN
latter	ADJ PROPN NOUN PRON
threat	NOUN
insisting	VERB
preeminent	ADJ
indicating	VERB
accepted	VERB
laurie	PROPN
mylroie	PROPN
crackpot	NOUN
conspiracy	NOUN
1993	NUM
trade	PROPN VERB NOUN ADJ
towers	PROPN NOUN
reality	NOUN
carried	VERB
gamaa	PROPN
islamiyyah	PROPN
component	NOUN
allied	VERB
concentrate	VERB ADJ
obsessing	VERB
obsess	VERB ADJ
hijackers	NOUN
hijacker	NOUN
operational	ADJ
rejected	VERB
reject	VERB
bases	NOUN PROPN VERB
targets	NOUN
trained	VERB ADJ
gunning	VERB
shelf	NOUN PROPN
bob	PROPN VERB
woodward	PROPN
playing	VERB NOUN ADJ
ahab	PROPN
whale	NOUN
hubris	NOUN
cia	PROPN
divisions	NOUN
division	NOUN
elsewhere	ADV
posed	VERB
pose	VERB NOUN
accounts	NOUN VERB
marginalized	VERB
marginalize	VERB
listened	VERB
demoted	VERB
demote	VERB
vocal	ADJ NOUN
focused	ADJ VERB
experts	NOUN
cabinet	NOUN
thereafter	ADV
cooperation	NOUN PROPN
outranked	VERB
outrank	VERB
stations	NOUN
tenet	PROPN NOUN
excited	ADJ VERB ADV
chatter	NOUN VERB ADJ
islamist	PROPN NOUN ADJ
pakistani	ADJ
nawaz	PROPN
sharif	PROPN
ops	NOUN
op	NOUN
qandahar	PROPN
presume	VERB
succeeded	VERB
succeed	VERB
gen.	PROPN
pervez	PROPN
musharraf	PROPN
coup	NOUN X
rife	ADJ
protective	ADJ
reneged	VERB
renege	VERB
tempted	VERB
tempt	VERB
carter	PROPN
tabas	PROPN
googled	VERB
gods	NOUN
god	NOUN PROPN
yeah	INTJ ADV
probablyl	ADV
gon	VERB
retarded	ADJ
spaniels	NOUN
sarcasm	NOUN
cd	NOUN PROPN
requires	VERB
tony	PROPN
someplace	NOUN
entree	NOUN
messed	VERB
bet	NOUN VERB PROPN
a&m	PROPN
colorado	PROPN
hook	VERB NOUN
paige	PROPN
brown	ADJ PROPN NOUN VERB
leather	NOUN
blonde	ADJ NOUN
chick	NOUN
affected	ADJ VERB
layoffs	NOUN
layoff	NOUN
affect	VERB NOUN ADJ
satelite	NOUN
economy	NOUN
planning	VERB NOUN PROPN ADJ
shitload	NOUN
financing	NOUN VERB
mcconnell	PROPN
07/06/2000	NUM
14:57	NUM
maintained	VERB
maintain	VERB
mulva	PROPN
assurances	NOUN
assurance	NOUN PROPN
phillips	PROPN
performance	NOUN VERB
harper	PROPN
nell	PROPN
browning	PROPN VERB
amazed	ADJ VERB
fuzzy	ADJ
remedies	NOUN
remedy	NOUN VERB
difficult	ADJ
ken	PROPN X
route	NOUN VERB PROPN
hilary	PROPN
ackermann	PROPN
goldman	PROPN
sachs	PROPN
advisory	NOUN ADJ PROPN
212-902-3724	NUM
212-428-1181	NUM
hilary.ackermann@gs.com	X
lavorato	PROPN
gary	PROPN
cohn	PROPN
capital	PROPN NOUN ADJ
aron	PROPN
louise	PROPN
nuts	ADJ
events	NOUN
sorted	VERB
counterparties	NOUN
overdue	ADJ
margin	NOUN
kinder	PROPN
morgan	PROPN
3,500,000	NUM
1,250,000	NUM
aep	PROPN
19,250,000	NUM
38,750,000	NUM
------------------------------	PUNCT
totals	NOUN
22,750,000	NUM
40,000,000	NUM
stephanie	PROPN
bluegrass	NOUN
songbook	NOUN
guitar	NOUN
ponder	VERB
pronto	ADV
david	PROPN X
preferable	ADJ
comparison	NOUN PROPN
ralph	PROPN
nader	PROPN
equivalent	NOUN ADJ
broken	ADJ VERB PROPN
spoiler	NOUN
driving	VERB NOUN PROPN ADJ
tonite	NOUN
hitch	VERB NOUN
anil	PROPN
dose	NOUN
bills	NOUN
collapses	VERB
flooded	VERB
lsu	PROPN
excitement	NOUN
possibility	NOUN
cotton	PROPN NOUN
rohan	PROPN
alabama	PROPN
davey	PROPN
ark	PROPN
season	NOUN VERB
http://www.theadvocate.com/sports/story.asp?storyid=16473	X
http://www.theadvocate.com/sports/story.asp?storyid=16475	X
http://www.nola.com/lsu/t-p/football/index.ssf?/lsustory/lsunotes08.html	X
http://www.nola.com/lsu/t-p/football/index.ssf?/lsustory/secnotes08.html	X
http://www.nola.com/lsu/t-p/football/index.ssf?/lsustory/lsufoe08.html	X
stronger	ADJ ADV
persuaded	VERB
persuade	VERB
anyway	ADV INTJ
tired	ADJ VERB
pse	NOUN PROPN
swap	NOUN VERB
forex	NOUN
cpi	NOUN
voicemail	NOUN
colleagues	NOUN
colleague	NOUN
9.5	NUM
fixed	VERB ADJ PROPN
implied	VERB
volatility	NOUN
usd	NOUN
suitable	ADJ PROPN
volalatility	NOUN
ideally	ADV
turnaround	NOUN
correlation	NOUN
assuming	VERB
consequently	ADV
dipping	VERB
dip	VERB NOUN
sid	PROPN
presentations	NOUN
presentation	NOUN PROPN
references	NOUN
calculation	NOUN
coefficients	NOUN
garch	NOUN
magali	PROPN
van	PROPN NOUN
belle	PROPN
phb	PROPN
hagler	PROPN
bailly	PROPN
consultants	PROPN NOUN
202	NUM
828-3933	NUM
1776	NUM
n.w.	PROPN
296-3858	NUM
facsimile	NOUN
20006-3700	NUM
mvanbell@haglerbailly.com	X
andrew	X PROPN
edison@enron	X
06/02/2001	NUM
10:53	NUM
settled	VERB ADJ
ecogas	PROPN
randy	PROPN
maffett	PROPN
talked	VERB
53,000	NUM
related	ADJ VERB
subsidiary	NOUN ADJ
patent	NOUN VERB
daniels	PROPN
settlement	NOUN X
reflecting	VERB ADJ
becky	X PROPN
stephens@enron	X
06/12/2000	NUM
10:20	NUM
oc	NOUN
invoices	NOUN
invoice	NOUN VERB
5/30/00	NUM
verify	VERB
earliest	ADJ
convenience	NOUN
tracking	VERB NOUN
holland	PROPN
hart	PROPN
llp	PROPN
432785	NUM
4/14/00	NUM
l.	PROPN
beatty	PROPN
associates	PROPN NOUN
pc	PROPN NOUN
10461	NUM
10469	NUM
10468	NUM
5/28/00	NUM
stephens	PROPN
litigation	NOUN
713/853-5025	NUM
4809	NUM
px	NOUN
attys	NOUN
atty	NOUN
christian	PROPN ADJ NOUN
yoder	PROPN
06/04/2001	NUM
05:54	NUM
elizabeth	PROPN
sanders	PROPN X
renewing	VERB
renew	VERB
l/c's	NOUN
replenish	VERB
drawn	VERB ADJ
draw	VERB NOUN ADJ
separate	ADJ VERB PROPN
e'mail	NOUN
penny	NOUN
----	PUNCT
cgy	PROPN
tracy	PROPN
excess	ADJ NOUN
collateral	NOUN ADJ
required	VERB
levels	NOUN
sara	PROPN X
thames	PROPN
bruin	PROPN
stearns	PROPN
sheet	NOUN VERB
separately	ADV
